ENGINE,CHECKSUM,DATA_FREE,VERSION,CHECK_TIME,ROW_FORMAT,TABLE_NAME,TABLE_ROWS,TABLE_TYPE,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,TABLE_COMMENT,AUTO_INCREMENT,AVG_ROW_LENGTH,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,13107200,<blank>,def,<blank>,INNODB_CMP,SYSTEM VIEW,25,max_rows=671088,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,9437184,<blank>,def,<blank>,INNODB_FT_BEING_DELETED,SYSTEM VIEW,9,max_rows=1864135,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,13107200,<blank>,def,<blank>,INNODB_CMP_RESET,SYSTEM VIEW,25,max_rows=671088,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16728660,<blank>,def,<blank>,INNODB_CMP_PER_INDEX,SYSTEM VIEW,1755,max_rows=9559,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,15204352,<blank>,def,<blank>,INNODB_CMPMEM_RESET,SYSTEM VIEW,29,max_rows=578524,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,9437184,<blank>,def,<blank>,INNODB_FT_DELETED,SYSTEM VIEW,9,max_rows=1864135,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16765866,<blank>,def,<blank>,INNODB_BUFFER_PAGE_LRU,SYSTEM VIEW,6669,max_rows=2515,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16749238,<blank>,def,<blank>,INNODB_LOCK_WAITS,SYSTEM VIEW,599,max_rows=28008,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16694643,<blank>,def,<blank>,INNODB_TEMP_TABLE_INFO,SYSTEM VIEW,1011,max_rows=16594,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16615548,<blank>,def,<blank>,INNODB_SYS_INDEXES,SYSTEM VIEW,618,max_rows=27147,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16736364,<blank>,def,<blank>,INNODB_SYS_TABLES,SYSTEM VIEW,2091,max_rows=8023,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16609428,<blank>,def,<blank>,INNODB_SYS_FIELDS,SYSTEM VIEW,594,max_rows=28244,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16728660,<blank>,def,<blank>,INNODB_CMP_PER_INDEX_RESET,SYSTEM VIEW,1755,max_rows=9559,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16766844,<blank>,def,<blank>,INNODB_BUFFER_PAGE,SYSTEM VIEW,6852,max_rows=2448,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,14680064,<blank>,def,<blank>,INNODB_FT_DEFAULT_STOPWORD,SYSTEM VIEW,56,max_rows=299593,0,utf8_general_ci,information_schema
